연번,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,전화번호,홈페이지
1,한국관광협회중앙회,관광호텔업,2성,2026-06-01,경기,호텔M타워,86,경기도 김포시 김포한강9로75번길 38,031-984-1723,https://www.instagram.com/mtower_hotel/
2,한국관광협회중앙회,관광호텔업,4성,2026-06-01,강원,휘닉스호텔,130,강원도평창군 봉평면 태기로 174,033-330-6001,https://phoenixhnr.co.kr/
3,한국관광협회중앙회,관광호텔업,5성,2026-06-01,경기,소노캄 고양,826,경기도 고양시 일산동구 태극로 20,031-927-7700,https://www.sonohotelsresorts.com/calm_gy
4,한국관광협회중앙회,관광호텔업,3성,2026-05-26,서울,스탠포드호텔 명동,254,서울특별시 중구 남대문로 84,02-6260-2122,http://www.stanfordmyeongdong.com/
5,한국관광협회중앙회,관광호텔업,3성,2026-05-26,서울,아이비씨호텔,55,서울특별시 종로구 난계로 241,02-2250-3000,http://www.hotelibc.com/
6,한국관광협회중앙회,관광호텔업,4성,2026-05-26,강원,(주)이랜드파크 켄싱턴호텔 설악,108,강원도 속초시 설악산로 998,033-635-4001,https://kensington.co.kr/hsr/branch_info
7,한국관광협회중앙회,관광호텔업,5성,2026-05-20,서울,풀만 앰배서더 서울 이스트폴,150,서울 광진구 아차산로 410,02-3450-6000,https://www.pullmanseouleastpole.com/
8,한국관광협회중앙회,관광호텔업,2성,2026-05-18,서울,호텔 디 아티스트 성신여대점,48,서울특별시 성북구 소문로126,02-921-9901,http://www.theartist.modoo.at
9,한국관광협회중앙회,관광호텔업,2성,2026-05-18,부산,시애틀비호텔,55,부산광역시 연제구 거제천로154번길 42,051-852-7685,http://www.seattlebhotel.com/
10,한국관광협회중앙회,관광호텔업,2성,2026-05-18,대전,테크노밸리 호텔,74,대전광역시 유성구 테크노중앙로 57,042-671-0500,http://www.hoteltechnovalley.com/main/index.asp
11,한국관광협회중앙회,관광호텔업,3성,2026-05-18,서울,나인트리 바이 파르나스 서울 인사동,301,서울특별시 종로구 인사동길 49,02-6917-3099,http://www.ninetreehotels.com/nth3/
